Datetime,Tweet Id,Text,Username
2021-05-26 10:04:37+00:00,1397493869936263168,"@baardamundsen Liten tvil om at dette henger i hop. Du kan også legge til skepsis mot utrulling av AMS-målere og 5g-teknologien, samt en iboende skepsis mot alt Staten gjør på vegne av oss alle, samt en generell beundring av Trump. Men heldigvis er dette trender med mange unntak.",KnutLockert
2021-05-26 10:04:36+00:00,1397493865578475524,"Two guys who did a terrible job with the pandemic. Oh, &amp; what else is the same? I have to say, Trump still looks like more of a hot mess express! https://t.co/fQJEKliOWA",CatherinePangb4
2021-05-26 10:04:35+00:00,1397493862969475073,"@RuchitaWarulkar Our view to look at freedom of speech is corrupt

For ex.
Donald Trump, Kangana Ranaut, etc. person's Twitter account suspension is okay

But Twitter Handles which spread false info during CAA protests, Delhi riots, Farm bill protest are still on

Not taking sides, just observing",d_dahigaonkar
2021-05-26 10:04:35+00:00,1397493860398424067,"Sooo... Shall we talk about the fact that a Grand Jury has been convened in criminal probe of Trump Org? Bc for those who keep whining about no accountability for him? This is it. And it involves his children, too. 😈",aliasvaughn
2021-05-26 10:04:35+00:00,1397493860146761739,"Petition Demanding Marjorie Taylor Greene's Expulsion Amasses Over 100,000 Signatures. McCarthy Condemns MT Greene's Statements, MT Greene Retweets McCarthy Is a MORON Feckless C*NT GOP a Dying Party 4Treason &amp; trump https://t.co/QW04Y0rXaF",2DianaAdams
2021-05-26 10:04:33+00:00,1397493853641453568,@elizabday Pure Trump,RobertCragg
2021-05-26 10:04:28+00:00,1397493834003755009,"It's obviously not the main issue here but two quite fascinating things about Trump administration and its relationship with the UK coming out of Cummings' session:

1. CIA being used to get PPE
2. Trump wanted the UK to help out with bombing in the Middle East",aliceolilly
2021-05-26 10:04:27+00:00,1397493830044299268,"@DiamanteGiallo @noitre32 Fa quello che senti di fare, ma fai anche in modo che la tua vita non cambi a causa di certe paure indotte da questi corrotti. Questa brutta influenza si cura con farmaci tradizionali, come hanno fatto Trump, Berlusconi, Zingaretti e mia figlia. Pesa in tempo basta qualche giorno",MZampedroni
2021-05-26 10:04:26+00:00,1397493825992630272,"Ett kännetecken bland populistiska/fascistoida auktoritära/diktatoriska ledare är deras vana att beskylla sina motståndare för exakt det de gör själva. Putin gör det hela tiden, Trump med. https://t.co/6kTRXgDo8h https://t.co/ZHwcjzZMYQ",grenfeldt
2021-05-26 10:04:24+00:00,1397493816165167106,Trump need good rest after 4 hectic years of failed president for all United States of America. Just jail him will solve his tax matters? Dems moving the Biden government smooth as electric train without speed limit to built back better United States for all citizen as American. https://t.co/NT0TWOdQqJ https://t.co/OCr4VJsyaV,SanasyAppanah
2021-05-26 10:04:24+00:00,1397493814303072257,"@RepJeffDuncan @JoeBiden Actually, the USA had boots on the ground (CDC Doctors) in China. Trump fired them just before Covid 19.  Why did you guys do that????",ninja_antifa
2021-05-26 10:04:21+00:00,1397493804480057347,"When the UK was trying to acquire PPE ""Trump sent the CIA around the world to gazump everyone else"" - Dominic Cummings",JaiGupte
2021-05-26 10:04:21+00:00,1397493803750248448,Ep. 1528 President Trump Drops a Bombshell - The Dan Bongino Show https://t.co/ZCDfRNi2Yf,ScarlettDear1
2021-05-26 10:04:21+00:00,1397493802693181442,"@Joebiden
@MarkRuffalo 
Any comment, want to make another retraction or perhaps you should just cut to the chase and admit you are Zionists and have more in common with Trump than Martin Luther King. https://t.co/FzYkhV0oFW",MaeveMeabhkerr
